ColumnHeader,Measurement,Gravels,Stones,Treatment,Depth,Column,Block,Sensor,Units,Summary,MUX,Port
TIMESTAMP,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
RECORD,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
BattV_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
PTemp_C_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
"CS650(19,3)",Temperature,Deep,Stony,B,D3,5,1,S_19,oC,Samp,1,19
"CS650(19,4)",Permittivity,Deep,Stony,B,D3,5,1,S_19,-,Samp,1,19
"CS650(19,5)",Period,Deep,Stony,B,D3,5,1,S_19,uSec,Samp,1,19
"CS650(19,6)",VoltageRatio,Deep,Stony,B,D3,5,1,S_19,-,Samp,1,19
"CS650(20,1)",VolumetricWaterContent,Deep,Stony,B,D4,5,1,S_20,mm3/mm3,Samp,1,20
"CS650(20,2)",ElectricalConductivity,Deep,Stony,B,D4,5,1,S_20,dS/m,Samp,1,20
"CS650(20,3)",Temperature,Deep,Stony,B,D4,5,1,S_20,oC,Samp,1,20
"CS650(20,4)",Permittivity,Deep,Stony,B,D4,5,1,S_20,-,Samp,1,20
"CS650(20,5)",Period,Deep,Stony,B,D4,5,1,S_20,uSec,Samp,1,20
"CS650(20,6)",VoltageRatio,Deep,Stony,B,D4,5,1,S_20,-,Samp,1,20
"CS650(21,1)",VolumetricWaterContent,Deep,StoneFree,A,D1,6,1,S_21,mm3/mm3,Samp,1,21
"CS650(21,2)",ElectricalConductivity,Deep,StoneFree,A,D1,6,1,S_21,dS/m,Samp,1,21
"CS650(21,3)",Temperature,Deep,StoneFree,A,D1,6,1,S_21,oC,Samp,1,21
"CS650(21,4)",Permittivity,Deep,StoneFree,A,D1,6,1,S_21,-,Samp,1,21
"CS650(21,5)",Period,Deep,StoneFree,A,D1,6,1,S_21,uSec,Samp,1,21
"CS650(21,6)",VoltageRatio,Deep,StoneFree,A,D1,6,1,S_21,-,Samp,1,21
"CS650(22,1)",VolumetricWaterContent,Deep,StoneFree,A,D2,6,1,S_22,mm3/mm3,Samp,1,22
"CS650(22,2)",ElectricalConductivity,Deep,StoneFree,A,D2,6,1,S_22,dS/m,Samp,1,22
"CS650(22,3)",Temperature,Deep,StoneFree,A,D2,6,1,S_22,oC,Samp,1,22
"CS650(22,4)",Permittivity,Deep,StoneFree,A,D2,6,1,S_22,-,Samp,1,22
"CS650(22,5)",Period,Deep,StoneFree,A,D2,6,1,S_22,uSec,Samp,1,22
"CS650(22,6)",VoltageRatio,Deep,StoneFree,A,D2,6,1,S_22,-,Samp,1,22
"CS650(23,1)",VolumetricWaterContent,Deep,StoneFree,A,D3,6,1,S_23,mm3/mm3,Samp,1,23
"CS650(23,2)",ElectricalConductivity,Deep,StoneFree,A,D3,6,1,S_23,dS/m,Samp,1,23
"CS650(23,3)",Temperature,Deep,StoneFree,A,D3,6,1,S_23,oC,Samp,1,23
"CS650(23,4)",Permittivity,Deep,StoneFree,A,D3,6,1,S_23,-,Samp,1,23
"CS650(23,5)",Period,Deep,StoneFree,A,D3,6,1,S_23,uSec,Samp,1,23
"CS650(23,6)",VoltageRatio,Deep,StoneFree,A,D3,6,1,S_23,-,Samp,1,23
"CS650(24,1)",VolumetricWaterContent,Deep,StoneFree,A,D4,6,1,S_24,mm3/mm3,Samp,1,24
"CS650(24,2)",ElectricalConductivity,Deep,StoneFree,A,D4,6,1,S_24,dS/m,Samp,1,24
"CS650(24,3)",Temperature,Deep,StoneFree,A,D4,6,1,S_24,oC,Samp,1,24
"CS650(24,4)",Permittivity,Deep,StoneFree,A,D4,6,1,S_24,-,Samp,1,24
"CS650(24,5)",Period,Deep,StoneFree,A,D4,6,1,S_24,uSec,Samp,1,24
"CS650(24,6)",VoltageRatio,Deep,StoneFree,A,D4,6,1,S_24,-,Samp,1,24
"CS650(25,1)",VolumetricWaterContent,Shallow,StoneFree,D,D1,7,2,S_25,mm3/mm3,Samp,2,1
